X1,X2,X3,X4,X5,X6,X7,X8,X9,Y
4.918,1,3.472,0.998,1,7,4,42,0,25.9
5.021,1,3.531,1.5,2,7,4,62,0,29.5
4.543,1,2.275,1.175,1,6,3,40,0,27.9
4.557,1,4.05,1.232,1,6,3,54,0,25.9
5.06,1,4.455,1.121,1,6,3,42,0,29.9
3.891,1,4.455,0.988,1,6,3,56,0,29.9
5.898,1,5.85,1.24,1,7,3,51,1,30.9
5.604,1,9.52,1.501,0,6,3,32,0,28.9
5.828,1,6.435,1.225,2,6,3,32,0,35.9
5.3,1,4.988,1.552,1,6,3,30,0,31.5
6.271,1,5.52,0.975,1,5,2,30,0,31
5.959,1,6.666,1.121,2,6,3,32,0,30.9
5.05,1,5,1.02,0,5,2,46,1,30
8.246,1.5,5.15,1.664,2,8,4,50,0,36.9
6.697,1.5,6.902,1.488,1.5,7,3,22,1,41.9
7.784,1.5,7.102,1.376,1,6,3,17,0,40.5
9.038,1,7.8,1.5,1.5,7,3,23,0,43.9
5.989,1,5.52,1.256,2,6,3,40,1,37.9
7.542,1.5,5,1.69,1,6,3,22,0,37.9
8.795,1.5,9.89,1.82,2,8,4,50,1,44.5
6.083,1.5,6.727,1.652,1,6,3,44,0,37.9
8.361,1.5,9.15,1.777,2,8,4,48,1,38.9
8.14,1,8,1.504,2,7,3,3,0,36.9
9.142,1.5,7.326,1.831,1.5,8,4,31,0,45.8
