X1,X2,X3,X4,X5,X6,Y
830,234289,2356,1590,107608,1947,60323
885,259426,2325,1456,108632,1948,61122
882,258054,3682,1616,109773,1949,60171
895,284599,3351,1650,110929,1950,61187
962,328975,2099,3099,112075,1951,63221
981,346999,1932,3594,113270,1952,63639
990,365385,1870,3547,115094,1953,64989
1000,363112,3578,3350,116219,1954,63761
1012,397469,2904,3048,117388,1955,66019
1046,419180,2822,2857,118734,1956,67857
1084,442769,2936,2798,120445,1957,68169
1108,444546,4681,2637,121950,1958,66513
1126,482704,3813,2552,123366,1959,68655
1142,502601,3931,2514,125368,1960,69564
1157,518173,4806,2572,127852,1961,69331
1169,554894,4007,2827,130081,1962,70551
